,mktrf,smb,hml,rmw,cma,rf2,umd,liqu
196307,-0.39,-0.44,-0.89,0.68,-1.23,0.27,0.97,
196308,5.07,-0.75,1.68,0.36,-0.34,0.25,1.01,
196309,-1.57,-0.55,0.08,-0.71,0.29,0.27,0.19,
196310,2.53,-1.37,-0.14,2.8,-2.02,0.29,3.12,
196311,-0.85,-0.89,1.81,-0.51,2.31,0.27,-0.74,
196312,1.83,-2.07,-0.08,0.03,-0.04,0.29,1.75,
196401,2.24,0.11,1.47,0.17,1.51,0.3,0.86,
196402,1.54,0.3,2.74,-0.05,0.9,0.26,0.26,
196403,1.41,1.36,3.36,-2.21,3.19,0.31,0.75,
196404,0.1,-1.59,-0.58,-1.27,-1.04,0.29,-0.58,
196405,1.42,-0.64,1.82,-0.16,0.14,0.26,2.57,
196406,1.27,0.31,0.63,-0.28,-0.15,0.3,0.46,
196407,1.74,0.47,0.75,0.04,1.94,0.3,-0.32,
196408,-1.44,0.42,0.08,0.15,0.33,0.28,-0.22,
196409,2.69,-0.33,1.7,-0.54,0.61,0.28,-0.41,
196410,0.59,0.91,1.17,-0.38,0.43,0.29,0.08,
196411,0,-0.15,-1.96,0.62,-0.26,0.29,1.03,
196412,0.03,-0.7,-2.48,1.04,-1.48,0.31,-0.74,
196501,3.54,2.44,0.12,0.89,0.1,0.28,-1.44,
196502,0.44,3.29,0.11,0.2,-0.65,0.3,0.32,
196503,-1.34,2.11,1.03,-0.36,0.72,0.36,0.15,
196504,3.11,1.11,0.66,0.41,-2.27,0.31,2.63,
196505,-0.77,0.13,-1.61,-0.4,0.5,0.31,0.6,
196506,-5.51,-4.28,0.59,0.21,0.37,0.35,-3.13,
196507,1.43,1.07,2.14,-1.37,0.03,0.31,4.12,
196508,2.73,2.71,-1.02,1.9,-0.74,0.33,2.58,
196509,2.86,0.62,-0.12,-0.89,0.8,0.31,3.3,
196510,2.6,3.47,1.57,1.17,-0.65,0.31,3.46,
196511,-0.03,5.18,0.1,-1.01,-0.94,0.35,4.45,
196512,1.01,2.66,2.02,-1.14,-0.53,0.33,0.12,
196601,0.72,4.67,3.53,-2.82,-0.11,0.38,5.39,
196602,-1.21,4.71,0.29,-0.17,-1.49,0.35,4.57,
196603,-2.51,0.32,-2,1.3,0.06,0.38,1.42,
196604,2.14,3.34,-0.47,0.39,-0.95,0.34,6.28,
196605,-5.66,-5.1,-1.61,1.64,-1.52,0.41,-4.7,
196606,-1.44,1.37,0.49,0.15,0.78,0.38,3.25,
196607,-1.63,-0.48,0.99,-0.4,1.82,0.35,-1.4,
196608,-7.91,-3.14,0.44,-0.12,0.79,0.41,-2.14,
196609,-1.06,-1.14,0.51,-1.79,2.33,0.4,-1.84,
196610,3.86,-6.45,2.68,-3.48,4.24,0.45,-5.26,
196611,1.4,3.47,-4.77,4.15,-6.69,0.4,5.72,
196612,0.13,2.16,-1.32,0.64,-0.45,0.4,1.06,
196701,8.15,9.07,2.25,0.93,-3.13,0.43,-6.93,
196702,0.78,3.05,-2.18,2.05,-0.96,0.36,3.52,
196703,3.99,1.73,0.54,0.98,-1.45,0.39,1.53,
196704,3.89,0.42,-2.45,2.38,-3.64,0.32,0.59,
196705,-4.33,2.19,1.18,-1.7,1.81,0.33,0.72,
196706,2.41,6.41,0.85,-0.64,-2.41,0.27,6,
196707,4.58,3.52,2.72,0.52,2.7,0.31,-1.03,
196708,-0.89,0.67,1.52,0.36,1.45,0.31,-1.38,
196709,3.11,2.42,-2.42,0.23,-0.95,0.32,2.52,
196710,-3.09,0.47,-3.22,1.07,-2.62,0.39,3.67,
196711,0.37,-0.06,-1.69,1.35,-2.34,0.36,1.26,
196712,3.05,5.78,-0.63,-0.82,0.13,0.33,3.25,
196801,-4.06,4.48,4.84,-4.59,6.46,0.4,-4.7,-0.02385085
196802,-3.75,-2.92,1.33,-0.14,2.45,0.39,-3.43,0.02285474
196803,0.2,-1.6,-0.59,1.06,-1.1,0.38,3.23,0.01067122
196804,9.05,6.18,-1.17,2.7,-3.65,0.43,5.09,0.01182781
196805,2.28,7.1,0.66,0.31,-1.92,0.45,3.8,-0.01402705
196806,0.69,-0.36,0.83,-1.31,2.76,0.43,-1.9,-0.00386764
196807,-2.72,-1.42,5.39,-3.14,3.64,0.48,-0.88,-0.04067385
196808,1.34,2.26,1,-0.7,0.45,0.42,1.89,0.0032702
196809,4.03,2.84,0.3,-1.99,0.88,0.43,-0.65,0.01168661
196810,0.42,-0.38,2.86,-1.32,2.53,0.44,-1.46,-0.00211189
196811,5.43,2.41,-0.93,0.43,-2.26,0.42,1.75,-0.010299
196812,-3.94,3.56,-0.01,-1.86,1.7,0.43,-0.01,0.01400067
196901,-1.25,-0.45,1.68,-1.55,1.37,0.53,-0.17,0.0228162
196902,-5.84,-4.17,0.9,2.07,0.78,0.46,-2.36,0.05790585
196903,2.64,-0.42,-0.52,-1.42,-0.46,0.46,3.97,-0.01069171
196904,1.46,-0.83,-0.03,0.41,0.23,0.53,1.13,0.01961206
196905,-0.1,-0.11,0.72,-0.95,1.25,0.48,1.7,0.01883568
196906,-7.18,-5.5,-1.09,4.32,-1.53,0.51,-2.3,0.05054385
196907,-7,-3.39,1.18,1.45,1.93,0.53,1.7,0.03698282
196908,4.68,0.66,-3.77,1.17,-4.04,0.5,2.17,0.00284043
196909,-2.98,1.24,-3.19,3.45,-0.77,0.62,2.52,0.01789287
196910,5.06,3.91,-3.1,0.12,-2.14,0.6,-4.31,-0.05093539
196911,-3.79,-2.45,-1.21,1.45,0.28,0.52,3.66,0.02937924
196912,-2.63,-3.77,-2.84,2.54,-1.78,0.64,4.96,0.03910843
197001,-8.1,3.13,3.12,-1.71,3.85,0.6,0.6,0.02222465
197002,5.13,-2.74,3.93,-2.32,2.74,0.62,0.23,-0.05997182
197003,-1.06,-2.4,3.99,-1.01,4.32,0.57,-0.36,0.00276374
197004,-11,-6.37,6.17,-0.69,6.26,0.5,-0.77,0.03988847
197005,-6.92,-4.45,3.32,-1.25,3.92,0.53,-2.78,-0.07790799
197006,-5.79,-2.21,0.6,0.13,2.97,0.58,5.7,-0.03603967
197007,6.93,-0.62,0.91,-0.25,1.81,0.52,-3.14,-0.00117671
197008,4.49,1.53,1.27,0.56,-0.19,0.53,-6.55,0.00200811
197009,4.18,8.5,-5.52,0.3,-5.84,0.54,-8.8,-0.01577652
197010,-2.28,-4.43,0.21,1.71,2.32,0.46,9.42,-0.01641146
197011,4.6,-3.86,1.7,1.56,1.48,0.46,2.73,-0.00552738
197012,5.72,2.93,0.99,0.24,0.29,0.42,-2.23,0.04984003
197101,4.84,7.54,1.48,-1.99,0.06,0.38,-6.51,-0.04048085
197102,1.41,2.04,-1.27,0.58,-0.69,0.33,0.79,-0.01793555
197103,4.13,2.26,-4.03,1.83,-2.7,0.3,-1.41,0.01797642
197104,3.15,-0.35,0.81,-1.46,0.89,0.28,1.41,0.02622471
197105,-3.98,-1.11,-1.41,1.39,0.24,0.29,0.86,0.00368298
197106,-0.1,-1.49,-1.94,1.55,-1.65,0.37,2.73,-0.04293859
197107,-4.5,-1.42,-0.01,0.57,1.49,0.4,-2.37,-0.00596082
197108,3.79,-0.15,2.64,-0.45,2.63,0.47,3.61,0.02497528
197109,-0.85,0.28,-2.91,2.55,-1.59,0.37,2.12,0.00377134
197110,-4.42,-1.59,-0.48,1.58,-1.38,0.37,0.47,0.0315429
197111,-0.46,-2.87,-1.7,2.41,-0.33,0.37,1.51,0.00673334
197112,8.71,3.25,-0.41,-0.39,-1.73,0.37,-0.58,-0.00132402
197201,2.49,6.12,2.27,-1.68,0.52,0.29,0.17,-0.03669286
197202,2.87,0.89,-2.77,1.63,-0.53,0.25,2.54,0.0096974
197203,0.63,-0.47,-1.63,1.61,-0.15,0.27,2.94,0.03382246
197204,0.29,0.2,0.1,-0.45,-1,0.29,2.81,0.01401382
197205,1.25,-3.12,-2.72,2.38,-1.92,0.3,3.29,-0.00251954
197206,-2.43,-0.47,-2.49,1.81,-0.34,0.29,1.9,0.01461396
197207,-0.8,-2.77,0.66,1.14,-0.65,0.31,2.7,0.01614596
197208,3.26,-3.48,4.53,-1.95,2.88,0.29,-5.4,-0.02701586
197209,-1.14,-2.22,0.47,1.72,-1.97,0.34,1.82,-0.01634573
197210,0.52,-2.54,1.35,-0.15,-0.02,0.4,0.71,-0.01902972
197211,4.6,-0.63,4.83,-1.98,3.34,0.37,-5.09,-0.00816412
197212,0.62,-1.9,-2.19,2.58,-2.15,0.37,4.92,0.00900269
197301,-3.29,-2.82,2.68,0.38,0.9,0.44,3.73,-0.01486163
197302,-4.85,-3.9,1.6,-0.25,0.02,0.41,2.16,-0.01082593
197303,-1.3,-2.33,2.62,-1.04,0.64,0.46,3.59,-0.01272406
197304,-5.68,-2.95,5.42,-1.65,2.73,0.52,6.36,0.02307425
197305,-2.94,-6.18,0.41,1.94,-1.51,0.51,7.14,-0.00261441
197306,-1.57,-2.51,1.19,-0.27,0.21,0.51,4.3,-0.03236227
197307,5.05,7.26,-5.26,-0.05,-3.27,0.64,-11.57,0.00254919
197308,-3.82,-1.79,1.06,-1.28,1.29,0.7,3.46,0.01591023
197309,4.75,3.57,2.24,-2.3,1.75,0.68,-7,0.01708202
197310,-0.83,-0.3,1.6,-1.83,2.68,0.65,6.87,-0.04303971
197311,-12.75,-7.27,3.99,-2.58,1.69,0.56,8.66,-0.02655529
197312,0.61,-4.66,3.94,-2.69,2.41,0.64,10.38,-0.01675243
197401,-0.17,10.39,6,-3.18,4.48,0.63,-8.85,0.10250596
197402,-0.47,0.12,2.5,-1.87,2.62,0.58,0.32,0.03769419
197403,-2.81,2.61,-0.12,2.79,0.45,0.56,-1.05,0.04482981
197404,-5.29,-0.69,0.87,2.88,2.08,0.75,2.11,0.02300093
197405,-4.68,-3.08,-2.07,4.93,-0.4,0.75,-0.39,0.0588293
197406,-2.83,0.02,0.79,0.62,2.9,0.6,2.31,-0.00960425
197407,-8.05,1.92,5.17,-3.26,4.6,0.7,3.09,-0.00559386
197408,-9.35,0.26,2.64,-0.28,2.6,0.6,3,-0.03185659
197409,-11.77,1.48,5.59,-4.43,5.92,0.81,4.24,0.02156429
197410,16.1,-6.82,-9.88,-0.22,-2.87,0.51,-0.54,-0.07688055
197411,-4.51,-1.48,-0.2,-3.35,2.94,0.54,2.14,-0.02330062
197412,-3.45,-4.35,0.11,-0.69,3.26,0.7,2.92,0.01523821
197501,13.66,12.92,8.27,-0.76,-0.92,0.58,-13.82,0.10876389
197502,5.56,-0.65,-4.44,1.15,-2.12,0.43,-0.6,0.03662677
197503,2.66,3.99,2.39,1.23,-1.31,0.41,-2.04,0.05969079
197504,4.23,-0.72,-1.13,1.42,-1.35,0.44,1.38,0.00217849
197505,5.19,2.89,-4.1,-0.99,-0.61,0.44,-0.58,-0.03349678
197506,4.83,1.42,1.4,-2.66,1.1,0.41,0.02,-0.01748245
197507,-6.59,3.44,1.69,0.46,1.23,0.48,0.45,-0.00961332
197508,-2.85,-2.84,-0.94,1.12,-0.93,0.48,-0.1,-0.00855122
197509,-4.26,0.05,0.43,0.53,0.55,0.53,0.41,-0.01921566
197510,5.31,-4.22,0.27,-0.48,2.2,0.56,-0.16,0.09069118
197511,2.64,-1.1,2.05,-0.68,1.78,0.41,-0.45,0.03623193
197512,-1.6,-0.05,1.69,-0.09,0.58,0.48,-0.11,-0.00279676
197601,12.16,6.32,8.57,-1.79,2.27,0.47,4.45,0.01889973
197602,0.32,7.98,5.82,-2.6,3.83,0.34,0.38,-0.04154115
197603,2.32,-1.39,-0.11,-0.33,0.94,0.4,0.15,-0.01547489
197604,-1.49,0.08,-0.14,0.4,-1.08,0.42,0.59,-0.02147658
197605,-1.34,-1.1,-1.35,2.45,-1.4,0.37,-1.12,-0.03940119
197606,4.05,-1.07,0.69,-0.67,1.01,0.43,-0.42,-0.00663523
197607,-1.07,0.63,1.73,-1.05,0.28,0.47,-0.13,-0.02832679
197608,-0.56,-1.98,0.81,-0.41,-0.55,0.42,-0.85,0.01810316
197609,2.07,0.1,-0.29,0.98,-1.15,0.44,0.22,-0.01575295
197610,-2.42,0.13,-0.18,-0.19,-0.37,0.41,-0.44,0.00653387
197611,0.36,2.66,1.51,-1.41,0.09,0.4,2.89,-0.02436709
197612,5.65,3.64,2.27,-0.62,2.28,0.4,0.73,-0.01139266
197701,-4.05,5.9,4.27,-0.51,1.97,0.36,4.01,-0.03086918
197702,-1.94,1.07,0.47,-0.16,-0.22,0.35,0.36,-0.00920798
197703,-1.37,1.31,1.09,-0.3,-0.06,0.38,0.55,0.01040882
197704,0.15,0.61,3.38,-2.02,1.14,0.38,4.21,-0.02282789
197705,-1.45,1.31,0.85,0.33,0.19,0.37,2.03,0.0163649
197706,4.71,2.08,-0.74,0.91,-1.2,0.4,1.66,0.0239562
197707,-1.69,1.88,-0.57,0.74,0.09,0.42,0.36,0.00139087
197708,-1.75,0.86,-2.73,0.99,-0.69,0.44,-1.7,0.03093138
197709,-0.27,1.43,-0.46,1.45,-0.84,0.43,2,0.01013275
197710,-4.38,1.48,1.81,-0.19,-0.29,0.49,-0.08,-0.01274382
197711,4,3.64,0.23,-0.13,0.71,0.5,2.01,0.00334035
197712,0.27,1.59,-0.3,0.91,-0.69,0.49,1.58,-0.00705913
197801,-6.01,2.72,3.36,-1.7,1.52,0.49,-0.66,0.00736737
197802,-1.38,3.7,0.83,0.33,1.04,0.46,1.97,0.00018492
197803,2.85,3.71,1.16,-0.59,1.88,0.53,1.37,0.01715305
197804,7.88,-0.27,-3.57,2.83,-1.29,0.54,0.86,0.03159316
197805,1.76,4.58,-0.53,0.24,0.37,0.51,2.83,0.01451886
197806,-1.69,1.56,0.57,-1.41,-0.03,0.54,2.75,0.01060351
197807,5.11,0.13,-1.11,1.55,-0.79,0.56,4.18,0.0302821
197808,3.75,4.95,-0.57,1.41,0.44,0.56,2.83,-0.00056369
197809,-1.43,-0.31,1.86,-0.65,1.8,0.62,-3.14,-0.0272171
197810,-11.91,-10.07,1.39,0.18,0.99,0.68,-8.46,0.04372945
197811,2.71,2.85,-2.14,1.11,-1.19,0.7,5.47,-0.03258404
197812,0.88,1.12,-2.13,1.95,-1.38,0.78,3.03,0.00261659
197901,4.23,3.79,2.2,-2.49,1.51,0.77,-1.36,-0.00987982
197902,-3.56,0.54,1.14,-1.11,0.96,0.73,-1.06,-0.02962058
197903,5.68,3.2,-0.73,0.51,0.28,0.81,2.93,-0.0054805
197904,-0.06,2.4,1.08,1.11,0.21,0.8,0.81,0.01765909
197905,-2.21,0.17,1.32,-1.55,-0.27,0.82,-0.54,-0.02151047
197906,3.85,0.99,1.39,-1.59,-0.47,0.81,0.84,-0.01708665
197907,0.82,1.27,1.86,-0.28,0.71,0.77,-1.07,-0.01701357
197908,5.53,1.92,-1.58,1.6,-1.47,0.77,-0.21,0.0151875
197909,-0.82,-0.33,-0.9,1,0.32,0.83,5.28,-0.01024127
197910,-8.1,-3.51,-1.86,1,0.1,0.87,2.01,-0.000515
197911,5.21,2.53,-3.28,0.02,-2.12,0.99,8.14,-0.0679793
197912,1.79,4.32,-2.1,-0.72,-0.9,0.95,4.78,-0.01646801
198001,5.51,1.82,1.75,-1.69,1.71,0.8,7.55,0.00135218
198002,-1.22,-1.58,0.61,0.07,2.7,0.89,7.88,0.01930311
198003,-12.9,-6.92,-1.01,1.45,-1.16,1.21,-9.55,0.02745496
198004,3.97,1.05,1.08,-2.06,0.27,1.26,-0.43,-0.00952238
198005,5.26,2.1,0.38,0.32,-0.32,0.81,-1.12,-0.0078098
198006,3.06,1.42,-0.76,-0.16,-1.28,0.61,1.62,0.01063233
198007,6.49,3.82,-6.41,4.05,-2.38,0.53,0.35,-0.00699638
198008,1.8,4.26,-2.61,2.07,-0.87,0.64,3.21,0.01334038
198009,2.19,0.66,-4.58,1.9,-2.77,0.75,5.39,0.00989653
198010,1.06,2.36,-2.79,1.69,-1.18,0.95,7.3,0.02669153
198011,9.59,-3.31,-8.33,4.51,-5.71,0.96,15.22,0.03009778
198012,-4.52,-0.29,2.79,-1.29,1.23,1.31,-6.68,0.02694688
198101,-5.04,3.29,6.72,-3.53,4.35,1.04,-7.95,0.0396638
198102,0.57,-0.51,1.02,0.21,2.27,1.07,-1.35,0.00287617
198103,3.56,3.03,0.64,-2.26,-0.52,1.21,0.74,0.01465041
198104,-2.11,4.59,2.28,0.83,1.22,1.08,-0.91,-0.01873627
198105,0.11,2.45,-0.42,0.3,-1.54,1.15,3.7,-0.026426
198106,-2.36,-0.95,5.13,-1.37,2.69,1.35,-5.81,0.06166828
198107,-1.54,-2.05,-0.49,1.26,-2.55,1.24,-2.45,-0.01321385
198108,-7.04,-1.81,4.79,-0.31,1.41,1.28,-1.15,-0.00157323
198109,-7.17,-2.44,5.17,0.12,2.61,1.24,1.95,0.09324899
198110,4.92,2.36,-4.21,3.14,-3.01,1.21,4.01,-0.02447171
198111,3.36,-1.51,1.85,0.07,0.96,1.07,-0.27,0.06097189
198112,-3.65,1.2,0.82,0.22,2.5,0.87,1.3,0.00956992
198201,-3.24,-1.13,3.19,-1.49,1.92,0.8,1.72,-0.01978417
198202,-5.86,0.35,6.05,-3.43,4.56,0.92,4.88,-0.01144574
198203,-1.87,-0.04,3.83,-1.39,2.49,0.98,2.96,0.04354018
198204,3.27,1.09,-2.7,1.56,-0.02,1.13,-0.4,-0.02399156
198205,-3.99,0.64,1.76,0.88,-0.31,1.06,2.5,0.02935751
198206,-3.09,-0.52,1.55,0.01,2.7,0.96,4.96,0.04970968
198207,-3.19,0.95,0.09,1.04,1.54,1.05,4.44,-0.01586295
198208,11.14,-4.33,0.93,-1.89,0.11,0.76,-3.52,-0.00509109
198209,1.29,2.62,0.27,2.14,-0.04,0.51,4.19,0.04186289
198210,11.3,1.94,-3.67,0.29,-0.34,0.59,0.18,-0.03783243
198211,4.67,4.42,-1.85,-0.97,0.29,0.63,5.94,0.01049033
198212,0.55,-0.07,0.01,-0.01,1.05,0.67,0.04,-0.03135686
198301,3.6,3.33,-0.71,-1.55,-0.55,0.69,-1.74,-0.05499215
198302,2.59,2.93,0.7,-0.52,1.05,0.62,3.78,-0.03157817
198303,2.82,1.38,2.01,-0.17,2.74,0.63,0.93,0.04051042
198304,6.67,0.47,0.51,-0.11,1.47,0.71,1.72,0.03543041
198305,0.52,6.33,-1.42,-1.84,-1.54,0.69,-1.56,0.01830252
198306,3.07,1.19,-3.91,2.6,-0.87,0.67,1.8,0.00094532
